../datasets/R00460_5da9afe621dc7b184f5b80d9_1.jpg;Osmundastrum cinnamomeum;0.3803;Rhus typhina;0.1736;Osmunda claytoniana;0.1037;Ailanthus altissima;0.0996;Pteridium aquilinum;0.0464;Cyathea dealbata;0.0222
../datasets/R00460_5d9aef7321dc7b184f5b806d_1.jpg;Ailanthus altissima;0.3264;Robinia pseudoacacia;0.3143;Gleditsia triacanthos;0.0974;Tsuga canadensis;0.0889;Sequoia sempervirens;0.0206;Juglans nigra;0.0092
../datasets/R00460_5d9add8421dc7b184f5b8056_2.jpg;Albizia julibrissin;0.0808;Jacaranda mimosifolia;0.0603;Pteridium aquilinum;0.0422;Gleditsia triacanthos;0.0415;Juglans nigra;0.0383;Apis mellifera;0.0373
../datasets/R00460_5da01dad21dc7b184f5b80ab_2.jpg;Pteridium aquilinum;0.0890;Amorpha californica;0.0619;Polystichum acrostichoides;0.0529;Myriopteris alabamensis;0.0423;Osmunda regalis;0.0366;Dryopteris arguta;0.0336
../datasets/R00460_5da025c321dc7b184f5b80b6_0.jpg;Pastinaca sativa;0.4800;Conium maculatum;0.1405;Foeniculum vulgare;0.1003;Pinus strobus;0.0787;Rhus typhina;0.0395;Ailanthus altissima;0.0254
../datasets/R00460_5dcbbf6b14ca6438c35e7953_2.jpg;Rhus typhina;0.2671;Pteridium aquilinum;0.2365;Ailanthus altissima;0.2319;Robinia pseudoacacia;0.0692;Melia azedarach;0.0440;Gleditsia triacanthos;0.0271
../datasets/R00460_5da9d8eb21dc7b184f5b80df_2.jpg;Ailanthus altissima;0.6303;Robinia pseudoacacia;0.0362;Rhus typhina;0.0349;Albizia julibrissin;0.0194;Pteridium aquilinum;0.0099;Hemiphaga novaeseelandiae;0.0087
../datasets/R00460_5dbd5dfc37d867c837cbbf14_1.jpg;Robinia pseudoacacia;0.6197;Ailanthus altissima;0.1506;Nicotiana glauca;0.0840;Rhus typhina;0.0744;Gleditsia triacanthos;0.0236;Caesalpinia mexicana;0.0131
../datasets/R00460_5da8014221dc7b184f5b80d3_1.jpg;Polystichum munitum;0.8334;Osmundastrum cinnamomeum;0.0648;Ailanthus altissima;0.0527;Rhus typhina;0.0308;Albizia julibrissin;0.0035;Polystichum vestitum;0.0020
../datasets/R07719_5b9cddeeefac6409c12d4f1e_1.jpg;Populus fremontii;0.0930;Artemisia californica;0.0812;Larrea tridentata;0.0593;Populus tremuloides;0.0400;Hesperoyucca whipplei;0.0386;Platanus racemosa;0.0375
